Cooke 457	23_39_39
Cooke 508	5885_21270_709
Cooke 509	0_40_10
Cooke 513	64_96_96
Cooke 514	102_200_25
Cooke 517	173_22_11
Cooke 521	1_24_3
Cooke 523	1387_2412_134
Cooke 524	858_1400_56
Cooke 539	0_1_1
Cooke 540	773_12276_682
Cooke 542	142_117_39
Cooke 543	13_2_2
Cooke 545	23_24_24
Cooke 547	1_2_2
Cooke 559	1_2_1
Cooke 607	62_87_87
Cooke 608	18_35_35
Cooke 610	0_10_5
Cooke 611	170_274_137
Cooke 613	56_44_44
Cooke 615	44_42_21
Cooke 619	102_141_141
Cooke 625	76_104_104
Cooke 627	13_6_3
Cooke 628	5_6_3
Cooke 635	110_180_90
Cooke 637	79_121_121
Cooke 639	77_282_94
Cooke 641	45_109_109
Cooke 648	84_324_108
Cooke 651	1942_11960_460
Cooke 653	55_228_76
Cooke 655	88_42_42
Cooke 657	35_94_94
Cooke 659	126_12_6
Cooke 661	62_118_118
Cooke 663	43_156_78
Cooke 666	41_47_47
Cooke 670	2_4_2
Crltn 417	50_160_8
Crofts 310E	1_6_1
Crosby 01	118_249_3
Crosby 101	166_162_9
Crosby 110	228_336_16
Crosby 115	284_576_24
Crosby 120	272_368_23
Crosby 125	1852_2275_175
Crosby 130	953_1054_31
Crosby 140	348_476_28
Crosby 145	261_100_25
Crosby 150	415_576_36
Crosby 152	10_13_1
Crosby 160	217_437_19
Crosby 201	423_380_19
Crosby 205	715_850_50
Crosby 210	220_330_15
Crosby 215	221_360_20
Crosby 220	242_525_21
Crosby 225	261_744_24
Crosby 230	283_575_25
Crosby 235	323_374_22
Crosby 240	160_286_13
Crosby 250	483_731_43
Crosby 301	16266_51700_470
